"Backentec","Backentec"
"Scroll To Top","Voltar ao Topo"
"General","Geral"
"Enabled","Habilitado"
"Enable or disable the Scroll to Top button on the storefront.","Habilita ou desabilita o botão Voltar ao Topo na loja."
"Position","Posição"
"Choose the horizontal position of the button.","Escolha a posição horizontal do botão."
"Style","Estilo"
"Choose the shape style of the button.","Escolha o estilo de forma do botão."
"Left","Esquerda"
"Right","Direita"
"Round","Redondo"
"Square","Quadrado"
"Scroll to top","Voltar ao topo"
